name,team,position,games_played,metric1_giveaway_rate,metric3_dzone_giveaway_rate,metric2_above_expected,total_giveaways,I_F_dZoneShiftStarts,confidence_dzone,metric3_dzone_giveaway_weighted,icetime_minutes,confidence,metric1_weighted,metric2_weighted,metric1_z,metric2_z,metric3_z,composite_score
Cody Glass,NJD,C,70,2.399294325198471,0.09090909090909091,0.0004054263441462,34.0,176.0,1.0,0.09090909090909091,850.25,0.7930850199505297,2.505881681772335,0.0005235269290276622,0.7464741334761823,-0.09587144143328746,0.3460007862994516,0.9966034783423465
Tyson Jost,NSH,C,69,2.4763679936093728,0.10112359550561797,0.0034173097679525,31.0,89.0,0.6959016393442623,0.1022157090495164,751.1,0.7178995071045552,2.599942868464868,0.0027286700884841704,0.5746164517556362,0.37116007056397843,0.09176909945203807,1.0375456217716528
Ryan Reaves,SJS,R,50,2.9380181263691423,0.0625,0.0097823843694705,19.0,48.0,0.460655737704918,0.08526837072188669,388.01666666666665,0.44257316698864346,2.924864268886886,0.004873578117924278,-0.019042214283223884,0.825434268494685,0.4728335660410713,1.2792256202525325
Bobby Brink,MIN,R,68,2.3972602739726026,0.10344827586206896,-0.0091976299515274,35.0,87.0,0.6844262295081966,0.10384799309253916,876.0,0.8126112625706392,2.4941703069229004,-0.007291169739175891,0.7678717981469803,-1.7509610827111033,0.055066849449618406,-0.9280224351145047
Jaden Schwartz,SEA,L,50,3.9205754229561345,0.06557377049180328,-0.0006163350356306,43.0,122.0,0.8852459016393441,0.07006537692659491,658.0666666666667,0.6473522667774025,3.56575722871934,-5.4732928744808047e-05,-1.1900074357603656,-0.21834220916764288,0.8146760789573461,-0.5936735659706623
Patrick Kane,DET,R,67,3.8145866633142367,0.15447154471544716,-0.0022809275679954,59.0,123.0,0.8909836065573771,0.14904725609756098,928.0166666666667,0.852055536497734,3.6814120878100303,-0.0017990543172247317,-1.4013185690975802,-0.5877753917605286,-0.9612480853354838,-2.9503420461935925
Nick Bjugstad,NJD,C,61,2.0594404641913426,0.08411214953271028,0.0023002539476237,21.0,107.0,0.7991803278688524,0.08824958959275775,611.8166666666667,0.6122808601296332,2.3909326527251586,0.0017868909510184575,0.9564956560905009,0.1716988552447434,0.4058002327322337,1.533994744067478
Troy Terry,ANA,R,61,2.9750866725792147,0.10101010101010101,0.00597053541172,41.0,99.0,0.7532786885245901,0.10192415690555251,826.8666666666667,0.7753534222832071,2.961458261865176,0.004848573930103546,-0.08590251042964848,0.8201385834530581,0.09832471072707596,0.8325607837504856
Ivan Demidov,MTL,R,82,3.578591234893008,0.2857142857142857,-0.0043163114663948,57.0,70.0,0.5868852459016394,0.21094077406631334,955.6833333333333,0.8730351887627059,3.4942649440111144,-0.0036443493820134017,-1.0593850319518427,-0.9785939835120735,-2.352936854044927,-4.390915869508843
Quinton Byfield,LAK,R,79,3.0652838458424645,0.0845771144278607,0.0014361676298571,61.0,201.0,1.0,0.0845771144278607,1194.0166666666667,1.0,3.0652838458424645,0.0014361676298571,-0.27560056541958344,0.09741848833420584,0.4883766091943359,0.3101945321089583
Elias Pettersson,VAN,C,74,3.0688524590163935,0.10714285714285714,0.0020500282422621,118.0,168.0,1.0,0.10714285714285714,1016.6666666666666,0.9192788921588098,3.0563865536153583,0.0019633472332486056,-0.2593444658581467,0.2090708707249872,-0.019018861683606284,-0.06929245681676577
Tom Wilson,WSH,R,72,4.237317048207157,0.14457831325301204,-0.0043562409543699,69.0,166.0,1.0,0.14457831325301204,977.0333333333333,0.8892249083720005,4.090773080277344,-0.0037655398730083965,-2.149255455990369,-1.004261150746256,-0.8607629655867064,-4.014279572323332
Kyle Palmieri,NYI,C,25,2.2438061600789485,0.046511627906976744,0.0110731622505806,12.0,43.0,0.43196721311475406,0.07957300173565825,320.8833333333333,0.39166591438424175,2.6517638224683355,0.004930832910243666,0.47993521996664823,0.8375603711068182,0.6008951355222539,1.9183907265957205
Calle Jarnkrok,TOR,C,56,2.065997130559541,0.044642857142857144,-0.0024510117936102,18.0,112.0,0.8278688524590163,0.054983128928879584,522.75,0.5447415458501091,2.4522491178652692,-0.0008907469270455087,0.8444653285897038,-0.3954032221920703,1.1538035972203706,1.602865703618004
Justin Kirkland,CGY,C,20,4.746931737498732,0.36363636363636365,-0.0253886679281567,13.0,22.0,0.3114754098360656,0.18536257745705548,164.31666666666666,0.3,3.4641739875983344,-0.006933263878979465,-1.004406329346713,-1.675159512040555,-1.7778057237879974,-4.457371565175265
Samuel Helenius,LAK,C,53,2.0026224818214327,0.02857142857142857,0.003223773873969,14.0,35.0,0.3860655737704918,0.07531853455359712,419.45,0.4664090851643887,2.4891497091760852,0.0020244862060368124,0.7770448515599621,0.22201961139100068,0.6965577248923818,1.6956221878433446
Mark Scheifele,WPG,C,82,4.365806036939571,0.23931623931623933,0.0063718392314336,102.0,117.0,0.8565573770491803,0.22000867191360074,1374.3166666666666,1.0,4.365806036939571,0.0063718392314336,-2.651763748632077,1.1427538720806159,-2.5568304442629786,-4.06584032081444
Sean Couturier,PHI,C,78,3.7346858121459627,0.11574074074074074,0.0069278861399283,63.0,216.0,1.0,0.11574074074074074,1012.1333333333333,0.9158412623900913,3.665653332958791,0.006426999326883841,-1.3725260015065595,1.154436334813053,-0.21234408265241125,-0.4304337493459176
Auston Matthews,TOR,C,60,2.7135044173327727,0.11904761904761904,-0.0103812377534374,43.0,126.0,0.9081967213114754,0.11773182957393483,950.8,0.8693321537544909,2.739757710849607,-0.008897186476766926,0.3191630014296442,-2.091102457221646,-0.25711413382413423,-2.029053589616136
Seth Jarvis,CAR,C,71,2.8578989150568934,0.18947368421052632,0.0090528096265755,45.0,95.0,0.730327868852459,0.16661660555076216,944.75,0.8647444346146207,2.8655437964660098,0.007960402548755326,0.08934126701543048,1.4791987531354192,-1.3562986029017317,0.21224141724911805
Parker Kelly,COL,C,82,2.8046666536820988,0.11965811965811966,0.0004118566998268,40.0,117.0,0.8565573770491803,0.1175146267966048,855.7166666666667,0.7972303970245724,2.826921431227838,0.0005262873527425107,0.159907569502058,-0.09528680598421459,-0.25223028369470235,-0.18760952017685895
Jake Guentzel,TBL,C,81,2.7025833517332747,0.12307692307692308,0.001147501438552,51.0,130.0,0.9311475409836065,0.12181265348111768,1132.25,1.0,2.7025833517332747,0.001147501438552,0.38708367521471265,0.03628132034147543,-0.34887231763870735,0.07449267791748071
Noah Gregor,FLA,L,37,1.8171722780273585,0.06666666666666667,0.009986732663021,10.0,45.0,0.44344262295081965,0.08784269844693701,330.18333333333334,0.39871811074800945,2.476927861853992,0.004568859553366152,0.7993751922772575,0.7608973374891294,0.41494926572163204,1.975221795488019
Adrian Kempe,LAK,R,81,2.7003375421927744,0.11627906976744186,0.0010495533642943,54.0,129.0,0.9254098360655738,0.1154164973647424,1199.85,1.0,2.7003375421927744,0.0010495533642943,0.39118695771398493,0.015536709261862503,-0.20505340214959758,0.20167026482624986
Macklin Celebrini,SJS,C,82,5.168636673061452,0.2782608695652174,0.000385494079469,116.0,115.0,0.8450819672131147,0.2513754712645834,1346.5833333333333,1.0,5.168636673061452,0.000385494079469,-4.118602694531649,-0.12510568418901025,-3.262119524601955,-7.505827903322614
Casey Cizikas,NYI,C,81,3.231795646053088,0.14166666666666666,-0.0033506850012394,44.0,120.0,0.8737704918032787,0.13700226488352027,816.8833333333333,0.7677830537851841,3.158095797429506,-0.0023459101408902635,-0.4451757897663407,-0.7035950386962724,-0.6904139246363408,-1.8391847530989538
Zemgus Girgensons,TBL,C,74,2.25325917845455,0.0374331550802139,0.0027941117185739,35.0,187.0,1.0,0.0374331550802139,931.9833333333333,0.8550634625453626,2.349085635188537,0.0025306291638926563,1.0329536689398515,0.3292166021534707,1.5484184502436429,2.910588721336965
Beckett Sennecke,ANA,R,82,4.097952446676817,0.09722222222222222,-0.0110052507276393,80.0,144.0,1.0,0.09722222222222222,1171.3166666666666,1.0,4.097952446676817,-0.0110052507276393,-2.1623727608960457,-2.537573440409405,0.2040487009727068,-4.495897500332744
Mason Appleton,DET,C,65,1.6304699462980137,0.05042016806722689,-0.0117873778981797,21.0,119.0,0.8680327868852458,0.057585294147857596,772.7833333333333,0.7343419936086084,1.9715617348552748,-0.008396632567820158,1.7227215167286938,-1.9850891818798455,1.0952933649953038,0.8329256998441521
Landon Slaggert,CHI,L,52,1.337566709450787,0.028985507246376812,0.0074960831516861,12.0,69.0,0.5811475409836065,0.06070495476485226,493.43333333333334,0.5225106974560817,2.0904976054785314,0.004382906305109946,1.5054156999783475,0.7215139413039566,1.0251471399083965,3.2520767811907003
Connor Bedard,CHI,C,68,3.285900255869282,0.15463917525773196,0.0012940090788714,62.0,97.0,0.7418032786885246,0.1417488942431709,1113.85,0.992973080325708,3.2832898986321246,0.0012917758248624665,-0.6739159189771229,0.0668374701733357,-0.7971428840790289,-1.4042213328828161
Tage Thompson,BUF,C,81,2.9049222293330366,0.05917159763313609,0.0019075212324458,58.0,169.0,1.0,0.05917159763313609,1197.9666666666667,1.0,2.9049222293330366,0.0019075212324458,0.01739356552154085,0.19724737461686112,1.0596249975041996,1.2742659376426015
Zack Ostapchuk,SJS,C,59,2.080457186887983,0.052083333333333336,0.0056819772092601,18.0,96.0,0.7360655737704918,0.06597461892436009,519.1166666666667,0.5419863866972394,2.462423813415924,0.0035266648958326464,0.8258753059562053,0.5401689259952878,0.9066576329884595,2.2727018649399526
