player_name,total_giveaways,mean_above_expected
Kevin Gravel,1,-0.19633241896863385
Kevin Hayes,18,0.005150732265804449
Kevin Korchinski,13,0.014544617797836787
Kevin Rooney,1,0.018073623578605126
Kevin Stenlund,36,-0.013097934877402757
Kiefer Sherwood,67,0.0005297420043417331
Kirby Dach,16,-0.004318157586276525
Kirill Kaprizov,92,-0.009102753961241035
Kirill Kudryavtsev,1,0.02587236714667454
Kirill Marchenko,82,-0.008312578669160948
Konsta Helenius,5,0.01010175596142866
Kris Letang,76,-0.005479212716975155
Kurtis MacDermid,2,0.014585347106855395
Kyle Capobianco,19,0.006034802833509358
Kyle Connor,53,0.00567734180278296
Kyle MacLean,29,0.011790485468346391
Kyle Palmieri,12,0.011073162250580687
Landon Slaggert,12,0.007496083151686146
Lane Hutson,75,0.0007227239671256634
Lane Pederson,6,-0.010141279194445888
Lars Eller,33,0.003791834312908661
Lassi Thomson,5,-0.05756607081034548
Lawson Crouse,44,-0.003024050176635297
Lenni Hameenaho,12,0.0015161410889102183
Leo Carlsson,59,-0.0011813560476006664
Leon Draisaitl,83,-0.007118506352704678
Liam Foudy,1,0.011361485161881773
Liam O'Brien,11,-0.012592769719649406
Liam Ohgren,40,-0.0020519049187650586
Lian Bichsel,36,-0.00485504470089874
Linus Karlsson,46,0.011107257100775111
Logan Cooley,51,0.0023777540598539757
Logan Mailloux,66,-0.007660158927562435
Logan O'Connor,5,-0.028740379738657045
Logan Stankoven,39,-0.001027985597851291
Logan Stanley,62,-0.0017264820523664407
Louis Crevier,59,0.0028271549634313227
Luca Cagnoni,1,0.012196912284303784
Luca Del Bel Belluz,1,-0.23639671277548716
Luca Pinelli,2,0.010919260571362232
Lucas Raymond,61,-0.005184116377738479
Ludvig Jansson,4,-0.002776700088671316
Lukas Reichel,19,-0.0007783166495369042
Luke Evangelista,48,0.004230551626467291
Luke Glendening,11,0.012944484415032013
Luke Haymes,1,0.026025643809119953
Luke Hughes,89,-0.006479055758835995
Luke Kunin,21,0.008401878065814126
Luke Schenn,43,-0.0002380607211876033
MacKenzie Weegar,111,-0.002018061968361619
Mackenzie MacEachern,3,0.015051007475960868
Mackie Samoskevich,43,0.00040320806200616556
Macklin Celebrini,116,0.0003854940794690537
Marat Khusnutdinov,43,0.0035592376507816302
Marc Gatcomb,12,-0.0027317277655767355
Marc McLaughlin,1,0.012727608159840581
Marco Kasper,50,0.0004734071906915302
Marco Rossi,33,-0.004853921975669731
Marcus Foligno,29,0.002801285004126043
Marcus Johansson,44,-0.003313249468556799
Marcus Pettersson,76,0.00744675032991043
Marek Alscher,3,0.021308015451137308
Mario Ferraro,78,-0.005866693126083414
Mark Jankowski,33,-0.007472715489880794
Mark Kastelic,34,0.003731899065153422
Mark Scheifele,102,0.006371839231433693
Mark Stone,60,0.0005154715685479882
Marshall Rifai,1,0.011962427257447745
Marshall Warren,7,0.009748020267176012
Martin Fehérváry,49,0.0045753597778583595
Martin Necas,93,-0.007519360158733039
Martin Pospisil,5,0.0115052784309656
Mason Appleton,21,-0.011787377898179798
Mason Lohrei,85,-0.0008199195163111961
Mason Marchment,78,-8.550042884389177e-05
Mason McTavish,46,-0.002364355805578813
Mathew Barzal,74,0.0011859725322607081
Mathew Dumba,8,-0.0071257108321504305
Mathieu Joseph,24,0.009526697561460696
Mathieu Olivier,23,0.009888203659610587
Matias Maccelli,62,0.0018100763134911973
Mats Zuccarello,49,0.0015263694075396247
Matt Benning,1,0.013721124516362282
Matt Boldy,64,-0.0022630065331538116
Matt Coronato,47,-0.010180399649119815
Matt Duchene,52,0.0041715074048184475
Matt Grzelcyk,41,0.0021558503120272677
Matt Kiersted,8,0.0021313450520984807
Matt Rempe,5,0.014511155649946678
Matt Roy,60,-0.0060234230761953104
Matt Savoie,47,0.005195998963065143
Matthew Kessel,15,-0.002527573888694273
Matthew Knies,56,0.000705367094876049
Matthew Poitras,1,0.01153421200689545
Matthew Robertson,50,0.0009296500832922215
Matthew Schaefer,71,0.00012133428796167673
Matthew Tkachuk,27,-0.015321479310564672
Matthew Wood,35,-0.008924383333419989
Mattias Ekholm,89,-0.006423468830853432
Mattias Janmark,14,-0.003291865728436056
Mattias Samuelsson,69,-0.006708754700375145
Matty Beniers,72,-0.0050314760224382474
Matvei Gridin,36,0.008370820276735776
Matvei Michkov,76,0.0013691671411937007
Matěj  Blümel,2,-0.0733322718622523
Maveric Lamoureux,4,0.02121200315102424
Mavrik Bourque,49,0.008501791462427468
Max Crozier,21,-0.00933891690337233
Max Domi,78,-0.001970568985467705
Max Jones,8,0.013212774526087444
Max Sasson,37,0.00024126537469129584
Max Shabanov,31,0.006874904197714359
Maxim Groshev,1,-0.4808478538386715
Maxim Tsyplakov,28,-0.005064599887288417
Michael Amadio,56,-0.008689236346561286
Michael Brandsegg-Nygård,11,-0.00472873372080623
Michael Bunting,51,0.004571158768908966
Michael Callahan,3,0.022412862929768046
Michael Carcone,43,-0.00690498538703837
Michael Eyssimont,36,-0.008278551600563434
Michael Kesselring,38,0.002443465803799471
Michael McCarron,35,0.007584117210539139
Michael Misa,25,-0.0025560552108278966
Michael Pezzetta,3,0.008330900732622772
Michael Rasmussen,27,-0.014584023438172541
Mika Zibanejad,81,-0.00016002136563841073
Mikael Backlund,77,-0.0031326019142359158
Mikael Granlund,37,0.006374647927779939
Mikael Pyyhtia,1,0.012064489966698
Mike Benning,16,-0.013367491403461244
Mike Matheson,83,0.002158495894528702
Mike Reilly,22,0.00021711574326022584
Mikey Anderson,50,0.00559187348401632
Mikhail Sergachev,81,0.004129843529023169
Mikko Rantanen,64,0.004757303581321186
Mikulas Hovorka,6,-0.027527913873816454
Miles Wood,34,-0.00752701058488958
Miro Heiskanen,80,0.0016941901484753576
Mitch Marner,76,0.007064011942202679
Mitchell Chaffee,7,0.015060890046269813
Morgan Barron,33,-0.0020747250224503033
Morgan Frost,43,0.0009257093451927479
Morgan Geekie,67,0.0018164234786598819
Morgan Rielly,81,-0.001201371673192677
Moritz Seider,85,0.008039648312270234
Nate Danielson,17,-0.03826892659328883
Nate Schmidt,63,0.003316523861817563
Nathan Bastian,11,-0.008154985717190432
Nathan Gaucher,1,0.007051250979408366
Nathan MacKinnon,129,-0.0017988369259051948
Nathan Walker,25,0.004841110502130041
Nazem Kadri,59,-0.005705412972396427
Neal Pionk,49,-0.03172055924519614
Nic Dowd,38,0.001362303294925839
Nicholas Robertson,62,-0.0005686298229391541
Nick Bjugstad,21,0.0023002539476237047
Nick Blankenburg,44,0.0030564640366543393
Nick Cousins,47,0.013438603233400268
Nick DeSimone,32,0.003883268317527062
Nick Foligno,26,0.0034992051334907
Nick Jensen,48,-0.008457849038608398
Nick Lardis,17,0.002393265632483953
Nick Leddy,20,0.002894454223080817
Nick Paul,30,-0.002015715878463791
Nick Perbix,86,0.0034460695412320977
Nick Schmaltz,82,0.006836637798139555
Nick Seeler,49,0.004015695729881635
Nick Suzuki,54,-0.008625772318219123
Nico Hischier,62,0.006419299880944951
Nico Sturm,18,0.0038935624320275883
Nicolas Aube-Kubel,1,0.018494071466597657
Nicolas Deslauriers,10,0.01571501336926013
Nicolas Hague,42,0.0004796165087801791
Nicolas Roy,59,-0.007474424566609819
Nikita Chibrikov,8,-0.019641004584344098
Nikita Grebenkin,35,-0.0026513660491338208
Nikita Kucherov,76,-0.008563610019722105
Nikita Nesterenko,13,-0.0021146494599733933
Nikita Zadorov,87,0.004920159787934365
Niko Mikkola,65,0.007171966554616004
Nikolaj Ehlers,73,0.007477147158176506
Nikolas Matinpalo,35,-0.0011189266102593794
Nils Aman,1,0.02701760518110124
Nils Hoglander,25,-0.001920333843788943
Nils Lundkvist,48,0.011804400660849998
Nino Niederreiter,34,0.00795700839495253
Noah Cates,33,0.0021845960967421954
Noah Dobson,82,-0.016619821535476424
Noah Gregor,10,0.009986732663021037
Noah Hanifin,90,0.002157879802361736
Noah Juulsen,50,0.006119442735909252
Noah Laba,36,0.0012524333919865878
Noah Ostlund,31,0.0073924191442837645
Noah Philp,7,0.010033662100550992
Noel Acciari,18,-0.000418057771263863
Nolan Foote,2,0.010479946987617565
Olen Zellweger,60,-0.0029254277953906075
Oliver Bjorkstrand,35,-0.0010395223100691583
Oliver Bonk,1,-0.006321383013065781
Oliver Ekman-Larsson,99,-0.005326623032190076
Oliver Kapanen,32,0.0022380740827736187
Oliver Moore,36,-0.006974431009441413
